Title,URL,Exam_Date,degree,examCode,etype,type,result,grad,Regulation,Is_Supplementary,Exam_Type,Year,Semester
RC/RV B.Tech II Year I Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1820&etype=r17&result=gradercrv&type=rcrvintgrade,02-NOV-2024,btech,1820,r17,rcrvintgrade,gradercrv,,R16,Yes,Supplementary,II,I
RC/RV B.Tech II Year I Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1821&etype=rcrv,02-NOV-2024,btech,1821,rcrv,,,,R15,Yes,Supplementary,II,I
RC/RV B.Tech II Year I Semester  (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1822&etype=rcrv,02-NOV-2024,btech,1822,rcrv,,,,R13,Yes,Supplementary,II,I
RC/RV B.Tech II Year II Semester (R22) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1813&etype=r17&result=gradercrv&type=rcrvintgrade,02-NOV-2024,btech,1813,r17,rcrvintgrade,gradercrv,,R22,No,Regular,II,II
RC/RV B.Tech II Year II Semester (R18) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1814&etype=r17&result=gradercrv&type=rcrvintgrade,02-NOV-2024,btech,1814,r17,rcrvintgrade,gradercrv,,R18,Yes,Supplementary,II,II
RC/RV B.Tech II Year II Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1815&etype=r17&result=gradercrv&type=rcrvintgrade,02-NOV-2024,btech,1815,r17,rcrvintgrade,gradercrv,,R16,Yes,Supplementary,II,II
RC/RV B.Tech II Year II Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1816&etype=rcrv,02-NOV-2024,btech,1816,rcrv,,,,R15,Yes,Supplementary,II,II
RC/RV B.Tech II Year II Semester  (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1817&etype=rcrv,02-NOV-2024,btech,1817,rcrv,,,,R13,Yes,Supplementary,II,II
RC/RV B.Tech I Year II Semester (R22) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1800&etype=r17&result=gradercrv&type=rcrvintgrade,06-OCT-2024,btech,1800,r17,rcrvintgrade,gradercrv,,R22,No,Regular,I,II
RC/RV B.Tech I Year II Semester (R18) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1801&etype=r17&result=gradercrv&type=rcrvintgrade,06-OCT-2024,btech,1801,r17,rcrvintgrade,gradercrv,,R18,Yes,Supplementary,I,II
